# BFF soup  N=131072  epochs=16000  mut=262144/2^30 (1/4096)  steps=8192
# epoch	selfcopy%	entropy4
0	0.050	0.9974
25	0.050	0.9931
50	0.000	0.9914
75	0.000	0.9894
100	0.050	0.9879
125	0.000	0.9879
150	0.000	0.9847
175	0.000	0.9836
200	0.000	0.9812
225	0.000	0.9765
250	0.000	0.9801
275	0.050	0.9779
300	0.000	0.9757
325	0.050	0.9750
350	0.000	0.9736
375	0.000	0.9733
400	0.000	0.9722
425	0.000	0.9714
450	0.000	0.9722
475	0.100	0.9702
500	0.000	0.9674
525	0.000	0.9682
550	0.000	0.9713
575	0.000	0.9677
600	0.000	0.9661
625	0.000	0.9664
650	0.000	0.9639
675	0.000	0.9659
700	0.000	0.9646
725	0.000	0.9640
750	0.000	0.9634
775	0.050	0.9624
800	0.000	0.9625
825	0.000	0.9622
850	0.000	0.9630
875	0.050	0.9647
900	0.050	0.9644
925	0.000	0.9624
950	0.000	0.9619
975	0.000	0.9621
1000	0.000	0.9610
1025	0.000	0.9637
1050	0.050	0.9589
1075	0.000	0.9575
1100	0.000	0.9606
1125	0.050	0.9597
1150	0.050	0.9584
1175	0.000	0.9592
1200	0.000	0.9587
1225	0.000	0.9587
1250	0.000	0.9578
1275	0.000	0.9550
1300	0.000	0.9559
1325	0.000	0.9566
1350	0.000	0.9530
1375	0.050	0.9545
1400	0.000	0.9552
1425	0.000	0.9566
1450	0.000	0.9549
1475	0.000	0.9552
1500	0.000	0.9530
1525	0.000	0.9553
1550	0.000	0.9574
1575	0.000	0.9577
1600	0.050	0.9523
1625	0.000	0.9556
1650	0.000	0.9563
1675	0.000	0.9556
1700	0.000	0.9556
1725	0.000	0.9554
1750	0.000	0.9557
1775	0.000	0.9559
1800	0.000	0.9564
1825	0.000	0.9554
1850	0.000	0.9569
1875	0.000	0.9526
1900	0.000	0.9554
1925	0.000	0.9562
1950	0.000	0.9533
1975	0.000	0.9529
2000	0.000	0.9549
2025	0.000	0.9529
2050	0.050	0.9554
2075	0.000	0.9537
2100	0.050	0.9543
2125	0.000	0.9549
2150	0.000	0.9548
2175	0.000	0.9525
2200	0.000	0.9542
2225	0.000	0.9547
2250	0.000	0.9539
2275	0.000	0.9526
2300	0.000	0.9519
2325	0.000	0.9555
2350	0.000	0.9542
2375	0.000	0.9547
2400	0.000	0.9564
2425	0.000	0.9546
2450	0.000	0.9553
2475	0.000	0.9523
2500	0.000	0.9526
2525	0.000	0.9564
2550	0.000	0.9520
2575	0.000	0.9552
2600	0.050	0.9533
2625	0.050	0.9546
2650	0.000	0.9554
2675	0.050	0.9555
2700	0.000	0.9548
2725	0.000	0.9549
2750	0.050	0.9542
2775	0.000	0.9555
2800	0.000	0.9529
2825	0.000	0.9536
2850	0.000	0.9552
2875	0.000	0.9564
2900	0.000	0.9552
2925	0.050	0.9542
2950	0.000	0.9581
2975	0.000	0.9569
3000	0.000	0.9555
3025	0.000	0.9573
3050	2.750	0.9368
3075	16.200	0.7106
3100	9.700	0.6897
3125	7.150	0.7084
3150	83.700	0.4565
3175	89.150	0.4416
3200	93.800	0.4415
3225	96.650	0.4383
3250	96.900	0.4393
3275	96.800	0.4456
3300	97.250	0.4495
3325	96.850	0.4539
3350	96.900	0.4629
3375	97.150	0.4679
3400	96.400	0.4726
3425	96.650	0.4786
3450	96.650	0.4868
3475	95.150	0.4934
3500	97.050	0.4972
3525	95.800	0.5077
3550	96.100	0.5074
3575	96.000	0.5142
3600	95.650	0.5216
3625	94.550	0.5231
3650	95.800	0.5296
3675	95.000	0.5297
3700	96.100	0.5330
3725	95.750	0.5412
3750	95.250	0.5440
3775	94.650	0.5458
3800	93.950	0.5548
3825	94.700	0.5547
3850	94.450	0.5613
3875	93.300	0.5641
3900	94.050	0.5684
3925	93.650	0.5708
3950	92.650	0.5765
3975	94.450	0.5784
4000	93.450	0.5847
4025	93.500	0.5888
4050	93.750	0.5925
4075	93.150	0.5955
4100	92.750	0.6003
4125	92.800	0.6028
4150	92.100	0.6033
4175	93.450	0.6082
4200	93.550	0.6116
4225	93.550	0.6143
4250	94.800	0.6185
4275	93.500	0.6217
4300	93.650	0.6247
4325	94.400	0.6264
4350	93.750	0.6289
4375	93.450	0.6331
4400	93.350	0.6349
4425	94.050	0.6385
4450	92.850	0.6409
4475	93.850	0.6436
4500	94.100	0.6478
4525	93.900	0.6458
4550	94.550	0.6503
4575	93.550	0.6540
4600	94.400	0.6570
4625	95.350	0.6576
4650	95.350	0.6602
4675	94.450	0.6644
4700	94.150	0.6651
4725	95.250	0.6692
4750	94.300	0.6705
4775	94.500	0.6736
4800	94.700	0.6745
4825	94.650	0.6788
4850	94.950	0.6808
4875	94.500	0.6827
4900	95.050	0.6842
4925	94.600	0.6849
4950	95.500	0.6844
4975	95.000	0.6863
5000	94.700	0.6890
5025	94.100	0.6890
5050	94.600	0.6917
5075	93.450	0.6942
5100	94.350	0.6966
5125	93.950	0.6977
5150	92.900	0.7004
5175	92.750	0.7012
5200	92.400	0.7054
5225	94.550	0.7057
5250	94.450	0.7055
5275	94.100	0.7081
5300	94.500	0.7092
5325	93.800	0.7128
5350	94.250	0.7130
5375	93.550	0.7131
5400	94.450	0.7156
5425	93.400	0.7172
5450	93.450	0.7181
5475	93.350	0.7189
5500	92.350	0.7200
5525	92.350	0.7198
5550	93.000	0.7209
5575	91.150	0.7226
5600	89.550	0.7235
5625	91.850	0.7234
5650	87.900	0.7238
5675	88.700	0.7225
5700	89.500	0.7232
5725	87.700	0.7250
5750	88.300	0.7241
5775	87.750	0.7229
5800	85.550	0.7244
5825	85.950	0.7249
5850	87.100	0.7250
5875	86.900	0.7275
5900	87.600	0.7263
5925	86.900	0.7296
5950	86.800	0.7304
5975	86.300	0.7297
6000	85.700	0.7303
6025	85.800	0.7320
6050	84.450	0.7321
6075	83.200	0.7335
6100	84.650	0.7360
6125	84.200	0.7358
6150	84.000	0.7352
6175	83.300	0.7362
6200	82.700	0.7361
6225	82.400	0.7377
6250	83.150	0.7374
6275	83.400	0.7380
6300	83.000	0.7387
6325	81.500	0.7387
6350	81.450	0.7385
6375	81.700	0.7389
6400	83.350	0.7388
6425	78.450	0.7398
6450	79.050	0.7395
6475	79.200	0.7393
6500	78.200	0.7411
6525	77.950	0.7431
6550	76.750	0.7452
6575	75.600	0.7430
6600	77.900	0.7444
6625	75.700	0.7449
6650	76.000	0.7455
6675	72.600	0.7458
6700	73.650	0.7473
6725	72.550	0.7469
6750	71.850	0.7486
6775	70.800	0.7485
6800	68.050	0.7469
6825	68.900	0.7447
6850	67.300	0.7455
6875	66.550	0.7467
6900	68.050	0.7457
6925	64.400	0.7483
6950	66.550	0.7486
6975	66.800	0.7509
7000	67.400	0.7523
