# tag=e2p17_s4 N=131072 epochs=8000 mut=262144 rngseed=4 seedfrac=0.000
# epoch	selfcopy%	entropy4
0	0.100	0.9978
25	0.050	0.9942
50	0.000	0.9911
75	0.050	0.9888
100	0.000	0.9868
125	0.000	0.9861
150	0.000	0.9850
175	0.000	0.9835
200	0.050	0.9825
225	0.000	0.9819
250	0.000	0.9784
275	0.000	0.9763
300	0.000	0.9777
325	0.000	0.9733
350	0.050	0.9772
375	0.100	0.9743
400	0.000	0.9728
425	0.050	0.9721
450	0.000	0.9720
475	0.000	0.9705
500	0.000	0.9688
525	0.000	0.9706
550	0.000	0.9680
575	0.000	0.9647
600	0.000	0.9687
625	0.000	0.9672
650	0.000	0.9667
675	0.000	0.9647
700	0.050	0.9623
725	0.000	0.9638
750	0.000	0.9639
775	0.000	0.9602
800	0.050	0.9652
825	0.000	0.9598
850	0.000	0.9626
875	0.000	0.9597
900	0.000	0.9620
925	0.050	0.9600
950	0.000	0.9603
975	0.000	0.9596
1000	0.000	0.9607
1025	0.000	0.9581
1050	0.000	0.9602
1075	0.000	0.9620
1100	0.000	0.9576
1125	0.000	0.9557
1150	0.050	0.9573
1175	0.100	0.9574
1200	0.000	0.9557
1225	0.000	0.9610
1250	0.000	0.9568
1275	0.000	0.9565
1300	0.000	0.9566
1325	0.000	0.9553
1350	0.000	0.9546
1375	0.000	0.9555
1400	0.000	0.9557
1425	0.000	0.9546
1450	0.000	0.9531
1475	0.000	0.9567
1500	0.000	0.9559
1525	0.000	0.9563
1550	0.000	0.9588
1575	0.000	0.9558
1600	0.000	0.9540
1625	0.000	0.9548
1650	0.000	0.9571
1675	0.000	0.9560
1700	0.000	0.9532
1725	0.000	0.9545
1750	0.000	0.9538
1775	0.000	0.9541
1800	0.000	0.9533
1825	0.000	0.9563
1850	0.000	0.9547
1875	0.000	0.9571
1900	0.000	0.9556
1925	0.000	0.9523
1950	0.050	0.9528
1975	0.000	0.9499
2000	0.000	0.9551
2025	0.000	0.9519
2050	0.000	0.9511
2075	0.000	0.9505
2100	0.000	0.9523
2125	0.000	0.9508
2150	0.000	0.9550
2175	0.000	0.9514
2200	0.000	0.9517
2225	0.000	0.9536
2250	0.000	0.9539
2275	0.000	0.9512
2300	0.000	0.9519
2325	0.000	0.9535
2350	0.000	0.9552
2375	0.000	0.9538
2400	0.050	0.9530
2425	0.000	0.9540
2450	0.000	0.9527
2475	0.000	0.9529
2500	0.050	0.9539
2525	0.050	0.9541
2550	0.000	0.9568
2575	0.000	0.9549
2600	0.000	0.9543
2625	0.000	0.9526
2650	0.000	0.9547
2675	0.000	0.9534
2700	0.000	0.9561
2725	0.000	0.9517
2750	0.000	0.9546
2775	0.000	0.9557
2800	0.000	0.9545
2825	0.000	0.9545
2850	0.000	0.9559
2875	0.000	0.9548
2900	0.000	0.9529
2925	0.000	0.9542
2950	0.050	0.9569
2975	0.000	0.9537
3000	0.000	0.9547
3025	0.000	0.9550
3050	0.000	0.9553
3075	0.000	0.9550
3100	0.000	0.9569
3125	0.000	0.9559
3150	0.000	0.9564
3175	0.000	0.9578
3200	0.000	0.9586
3225	0.050	0.9548
3250	0.000	0.9561
3275	0.000	0.9574
3300	0.000	0.9542
3325	0.000	0.9568
3350	0.000	0.9547
3375	0.000	0.9582
3400	0.000	0.9562
3425	0.000	0.9552
3450	0.000	0.9578
3475	0.000	0.9568
3500	0.000	0.9571
3525	0.000	0.9564
3550	0.000	0.9596
3575	0.000	0.9595
3600	0.000	0.9567
3625	0.000	0.9591
3650	0.050	0.9587
3675	0.000	0.9588
3700	0.000	0.9571
3725	0.000	0.9586
3750	0.000	0.9580
3775	0.000	0.9557
3800	0.000	0.9587
3825	0.000	0.9585
3850	0.000	0.9584
3875	0.000	0.9598
3900	0.000	0.9581
3925	0.050	0.9597
3950	0.000	0.9580
3975	0.000	0.9591
4000	0.050	0.9569
4025	0.000	0.9583
4050	0.000	0.9577
4075	0.000	0.9594
4100	0.000	0.9567
4125	0.000	0.9572
4150	0.000	0.9572
4175	0.050	0.9573
4200	0.000	0.9598
4225	0.000	0.9572
4250	0.000	0.9588
4275	0.000	0.9599
4300	0.000	0.9594
4325	0.000	0.9586
4350	0.000	0.9601
4375	0.000	0.9586
4400	0.000	0.9597
4425	0.000	0.9583
4450	0.000	0.9573
4475	0.050	0.9606
4500	0.000	0.9580
4525	0.000	0.9599
4550	0.100	0.9600
4575	0.050	0.9584
4600	0.000	0.9576
4625	0.000	0.9577
4650	0.000	0.9598
4675	0.000	0.9586
4700	0.100	0.9598
4725	0.000	0.9594
4750	0.000	0.9586
4775	0.050	0.9595
4800	0.000	0.9573
4825	0.000	0.9587
4850	0.000	0.9602
4875	0.000	0.9577
4900	0.000	0.9593
4925	0.000	0.9604
4950	0.000	0.9602
4975	0.050	0.9588
5000	0.050	0.9608
5025	0.000	0.9595
5050	0.000	0.9594
5075	0.000	0.9591
5100	0.000	0.9592
5125	0.000	0.9602
5150	0.000	0.9602
5175	0.050	0.9604
5200	0.000	0.9594
5225	0.000	0.9595
5250	0.000	0.9599
5275	0.000	0.9592
5300	0.000	0.9600
5325	0.000	0.9579
5350	0.000	0.9571
5375	0.000	0.9590
5400	0.000	0.9593
5425	0.000	0.9608
5450	0.050	0.9590
5475	0.000	0.9586
5500	0.050	0.9577
5525	0.000	0.9596
5550	0.000	0.9601
5575	0.000	0.9604
5600	0.000	0.9580
5625	0.000	0.9588
5650	0.000	0.9591
5675	0.050	0.9592
5700	0.000	0.9590
5725	0.000	0.9591
5750	0.000	0.9594
5775	0.000	0.9581
5800	0.000	0.9593
5825	0.000	0.9583
5850	0.000	0.9609
5875	0.000	0.9586
5900	0.000	0.9586
5925	0.000	0.9580
5950	0.050	0.9583
5975	0.000	0.9590
6000	0.000	0.9583
6025	0.000	0.9576
6050	0.000	0.9580
6075	0.000	0.9582
6100	0.000	0.9577
6125	0.000	0.9585
6150	0.000	0.9591
6175	0.000	0.9570
6200	0.000	0.9588
6225	0.000	0.9570
6250	0.000	0.9571
6275	0.050	0.9576
6300	0.000	0.9574
6325	0.000	0.9583
6350	0.050	0.9600
6375	0.000	0.9577
6400	0.000	0.9587
6425	0.000	0.9594
6450	0.000	0.9569
6475	0.000	0.9591
6500	0.000	0.9589
6525	0.000	0.9575
6550	0.000	0.9551
6575	0.000	0.9565
6600	0.000	0.9573
6625	0.000	0.9566
6650	0.000	0.9589
6675	0.000	0.9582
6700	0.000	0.9581
6725	0.000	0.9578
6750	0.000	0.9588
6775	0.050	0.9572
6800	0.000	0.9588
6825	0.000	0.9588
6850	0.000	0.9574
6875	0.000	0.9590
6900	0.000	0.9571
6925	0.000	0.9586
6950	0.000	0.9573
6975	0.000	0.9581
7000	0.000	0.9578
7025	0.050	0.9552
7050	0.050	0.9580
7075	0.000	0.9586
7100	0.000	0.9571
7125	0.050	0.9573
7150	0.000	0.9574
7175	0.000	0.9584
7200	0.000	0.9584
7225	0.000	0.9563
7250	0.000	0.9573
7275	0.000	0.9572
7300	0.000	0.9582
7325	0.000	0.9567
7350	0.050	0.9553
7375	0.000	0.9546
7400	0.000	0.9563
7425	0.050	0.9541
7450	0.000	0.9542
7475	0.000	0.9560
7500	0.000	0.9562
7525	0.000	0.9567
7550	0.000	0.9572
7575	0.000	0.9564
7600	0.000	0.9571
7625	0.000	0.9566
7650	0.050	0.9564
7675	0.000	0.9552
7700	0.000	0.9541
7725	0.000	0.9554
7750	0.000	0.9548
7775	0.000	0.9552
7800	0.000	0.9564
7825	0.000	0.9565
7850	0.000	0.9548
7875	0.000	0.9561
7900	0.000	0.9551
7925	0.000	0.9557
7950	0.000	0.9553
7975	0.000	0.9549
8000	0.000	0.9548
