# tag=e65536_s3 N=65536 epochs=40000 mut=262144 rngseed=3 seedfrac=0.000
# epoch	selfcopy%	entropy4
0	0.050	0.9957
25	0.050	0.9915
50	0.000	0.9892
75	0.000	0.9870
100	0.000	0.9864
125	0.000	0.9838
150	0.000	0.9820
175	0.100	0.9819
200	0.000	0.9792
225	0.000	0.9768
250	0.000	0.9753
275	0.000	0.9757
300	0.000	0.9772
325	0.050	0.9723
350	0.050	0.9716
375	0.000	0.9724
400	0.000	0.9692
425	0.000	0.9685
450	0.000	0.9692
475	0.000	0.9663
500	0.100	0.9658
525	0.000	0.9656
550	0.000	0.9625
575	0.000	0.9666
600	0.000	0.9654
625	0.000	0.9608
650	0.050	0.9607
675	0.050	0.9603
700	0.100	0.9572
725	0.050	0.9589
750	0.000	0.9575
775	0.000	0.9583
800	0.000	0.9557
825	0.050	0.9529
850	0.050	0.9533
875	0.050	0.9546
900	0.050	0.9521
925	0.000	0.9512
950	0.100	0.9501
975	0.000	0.9463
1000	0.050	0.9475
1025	0.000	0.9476
1050	0.000	0.9468
1075	0.000	0.9467
1100	0.000	0.9436
1125	0.100	0.9458
1150	0.050	0.9487
1175	0.000	0.9460
1200	0.000	0.9452
1225	0.050	0.9461
1250	0.050	0.9460
1275	0.100	0.9457
1300	0.600	0.9400
1325	2.550	0.9102
1350	9.300	0.7813
1375	27.250	0.5810
1400	71.400	0.4459
1425	92.750	0.4285
1450	96.250	0.4346
1475	96.550	0.4407
1500	90.550	0.4534
1525	87.600	0.4662
1550	93.100	0.4712
1575	94.050	0.4766
1600	91.150	0.4873
1625	93.800	0.4935
1650	93.650	0.4987
1675	93.100	0.5040
1700	93.750	0.5101
1725	93.500	0.5151
1750	92.700	0.5222
1775	92.050	0.5274
1800	92.350	0.5316
1825	92.650	0.5384
1850	92.050	0.5409
1875	91.400	0.5467
1900	92.750	0.5502
1925	93.250	0.5543
1950	91.600	0.5580
1975	90.650	0.5622
2000	91.200	0.5668
2025	90.200	0.5699
2050	90.100	0.5745
2075	89.900	0.5795
2100	89.000	0.5843
2125	89.250	0.5873
2150	88.850	0.5904
2175	89.550	0.5952
2200	90.600	0.5988
2225	89.200	0.6023
2250	88.650	0.6068
2275	91.050	0.6084
2300	90.800	0.6088
2325	91.400	0.6125
2350	90.550	0.6157
2375	89.500	0.6187
2400	89.600	0.6192
2425	91.600	0.6232
2450	91.200	0.6221
2475	91.450	0.6255
2500	90.500	0.6264
2525	91.000	0.6288
2550	89.850	0.6314
2575	89.900	0.6337
2600	88.050	0.6386
2625	87.700	0.6436
2650	85.950	0.6455
2675	85.250	0.6467
2700	85.500	0.6487
2725	86.150	0.6510
2750	83.900	0.6538
2775	82.350	0.6540
2800	83.700	0.6537
2825	81.500	0.6550
2850	84.100	0.6579
2875	83.200	0.6598
2900	83.100	0.6616
2925	82.650	0.6635
2950	83.400	0.6661
2975	83.750	0.6655
3000	81.300	0.6675
3025	81.800	0.6686
3050	80.600	0.6682
3075	81.950	0.6703
3100	82.700	0.6743
3125	81.250	0.6762
3150	79.000	0.6754
3175	79.300	0.6775
3200	79.100	0.6772
3225	79.650	0.6810
3250	75.400	0.6803
3275	75.550	0.6817
3300	75.750	0.6828
3325	75.550	0.6846
3350	76.550	0.6839
3375	74.600	0.6877
3400	75.600	0.6890
3425	71.950	0.6907
3450	73.400	0.6931
3475	73.600	0.6935
3500	76.200	0.6919
3525	75.600	0.6966
3550	73.050	0.6983
3575	71.200	0.7015
3600	71.250	0.7015
3625	69.450	0.7039
3650	70.950	0.7046
3675	71.200	0.7073
3700	72.200	0.7060
3725	71.750	0.7073
3750	71.000	0.7073
3775	69.450	0.7078
3800	70.750	0.7088
3825	69.950	0.7093
3850	67.800	0.7106
3875	67.650	0.7111
3900	69.750	0.7127
3925	69.100	0.7118
3950	66.000	0.7125
3975	65.800	0.7149
4000	66.650	0.7166
4025	66.050	0.7170
4050	66.900	0.7180
4075	66.000	0.7169
4100	62.800	0.7194
4125	63.400	0.7214
4150	62.350	0.7209
4175	60.300	0.7200
4200	58.400	0.7196
4225	58.700	0.7225
4250	59.100	0.7200
4275	59.100	0.7223
4300	57.600	0.7215
4325	58.800	0.7218
4350	58.500	0.7229
4375	57.600	0.7224
4400	57.500	0.7211
4425	58.050	0.7208
4450	54.850	0.7223
4475	54.650	0.7205
4500	51.400	0.7222
4525	51.700	0.7233
4550	51.750	0.7236
4575	50.550	0.7233
4600	50.000	0.7249
4625	52.750	0.7236
4650	49.200	0.7248
4675	49.750	0.7255
4700	47.800	0.7275
4725	46.550	0.7292
4750	47.300	0.7270
4775	48.200	0.7264
4800	45.550	0.7283
4825	45.800	0.7279
4850	44.500	0.7286
4875	43.600	0.7291
4900	42.700	0.7301
4925	41.650	0.7287
4950	38.300	0.7263
4975	40.750	0.7265
5000	38.050	0.7279
5025	37.700	0.7287
5050	37.550	0.7266
5075	34.550	0.7282
5100	31.900	0.7288
5125	34.500	0.7256
5150	34.650	0.7228
5175	34.150	0.7227
5200	35.050	0.7234
5225	32.900	0.7230
5250	31.950	0.7238
5275	31.200	0.7245
5300	30.550	0.7233
5325	30.150	0.7209
5350	30.100	0.7208
5375	28.650	0.7248
5400	28.500	0.7261
5425	26.550	0.7257
5450	27.450	0.7272
5475	24.150	0.7276
5500	25.550	0.7262
5525	25.900	0.7270
5550	25.650	0.7215
5575	27.000	0.7202
5600	25.250	0.7198
5625	26.750	0.7215
5650	25.300	0.7185
5675	25.100	0.7201
5700	24.400	0.7174
5725	23.850	0.7139
5750	24.300	0.7083
5775	22.550	0.7102
5800	21.250	0.7094
5825	21.600	0.7073
5850	23.350	0.7078
5875	19.100	0.7067
5900	19.050	0.7068
5925	17.550	0.7081
5950	17.150	0.7081
5975	18.350	0.7099
6000	17.550	0.7111
6025	15.800	0.7098
6050	14.900	0.7065
6075	16.550	0.7036
6100	15.350	0.7015
6125	15.550	0.7013
6150	14.000	0.7028
6175	13.550	0.7029
6200	12.100	0.7007
6225	14.500	0.7013
6250	13.250	0.7000
6275	13.600	0.6972
6300	13.150	0.6953
6325	13.150	0.6950
6350	14.850	0.6933
6375	15.150	0.6936
6400	15.600	0.6942
6425	14.350	0.6925
6450	14.450	0.6884
6475	14.800	0.6901
6500	12.300	0.6951
6525	13.800	0.6984
6550	13.500	0.6989
6575	14.950	0.6979
6600	15.900	0.6965
6625	16.550	0.6973
6650	19.050	0.6951
6675	16.500	0.6924
6700	18.150	0.6941
6725	15.900	0.6967
6750	17.350	0.6947
6775	19.600	0.6897
6800	20.500	0.6890
