# tag=n65536_s1 N=65536 epochs=20000 mut=262144 rngseed=1 seedfrac=0.000
# epoch	selfcopy%	entropy4
0	0.050	0.9957
25	0.000	0.9921
50	0.000	0.9911
75	0.000	0.9887
100	0.000	0.9861
125	0.000	0.9842
150	0.000	0.9840
175	0.050	0.9823
200	0.000	0.9793
225	0.050	0.9795
250	0.000	0.9769
275	0.000	0.9747
300	0.000	0.9752
325	0.000	0.9754
350	0.000	0.9740
375	0.000	0.9746
400	0.000	0.9711
425	0.000	0.9687
450	0.000	0.9681
475	0.000	0.9687
500	0.000	0.9670
525	0.000	0.9659
550	0.000	0.9673
575	0.000	0.9649
600	0.000	0.9689
625	0.000	0.9655
650	0.000	0.9634
675	0.050	0.9651
700	0.050	0.9625
725	0.000	0.9649
750	0.000	0.9599
775	0.000	0.9601
800	0.000	0.9642
825	0.000	0.9621
850	0.000	0.9621
875	0.000	0.9603
900	0.000	0.9598
925	0.000	0.9592
950	0.000	0.9617
975	0.050	0.9585
1000	0.000	0.9601
1025	0.000	0.9587
1050	0.000	0.9594
1075	0.000	0.9590
1100	0.000	0.9612
1125	0.000	0.9594
1150	0.000	0.9567
1175	0.000	0.9570
1200	0.050	0.9589
1225	0.000	0.9578
1250	0.000	0.9588
1275	0.000	0.9574
1300	0.000	0.9576
1325	0.000	0.9543
1350	0.000	0.9567
1375	0.000	0.9538
1400	0.000	0.9576
1425	0.000	0.9535
1450	0.000	0.9572
1475	0.000	0.9559
1500	0.000	0.9565
1525	0.000	0.9548
1550	0.050	0.9567
1575	0.000	0.9538
1600	0.000	0.9570
1625	0.000	0.9537
1650	0.000	0.9530
1675	0.000	0.9538
1700	0.000	0.9543
1725	0.000	0.9551
1750	0.000	0.9553
1775	0.000	0.9542
1800	0.000	0.9529
1825	0.000	0.9523
1850	0.000	0.9532
1875	0.050	0.9526
1900	0.000	0.9541
1925	0.000	0.9520
1950	0.050	0.9535
1975	0.000	0.9537
2000	0.050	0.9534
2025	0.000	0.9540
2050	0.050	0.9521
2075	0.000	0.9509
2100	0.000	0.9524
2125	0.000	0.9495
2150	0.000	0.9521
2175	0.000	0.9488
2200	0.000	0.9507
2225	0.000	0.9506
2250	0.000	0.9510
2275	0.000	0.9539
2300	0.000	0.9550
2325	0.000	0.9527
2350	0.000	0.9519
2375	0.000	0.9499
2400	0.050	0.9521
2425	0.000	0.9532
2450	0.000	0.9508
2475	0.000	0.9503
2500	0.000	0.9517
2525	0.050	0.9527
2550	0.000	0.9523
2575	0.000	0.9520
2600	0.000	0.9542
2625	0.000	0.9507
2650	0.000	0.9520
2675	0.000	0.9536
2700	0.000	0.9526
2725	0.000	0.9547
2750	0.050	0.9522
2775	0.000	0.9527
2800	0.050	0.9549
2825	0.000	0.9531
2850	0.050	0.9545
2875	0.000	0.9535
2900	0.050	0.9525
2925	0.100	0.9538
2950	0.000	0.9534
2975	0.000	0.9541
3000	0.000	0.9564
3025	0.000	0.9519
3050	0.000	0.9536
3075	0.050	0.9552
3100	0.000	0.9534
3125	0.050	0.9563
3150	0.000	0.9542
3175	0.000	0.9557
3200	0.000	0.9557
3225	0.000	0.9562
3250	0.000	0.9569
3275	0.000	0.9541
3300	0.000	0.9561
3325	0.000	0.9543
3350	0.000	0.9545
3375	0.000	0.9563
3400	0.000	0.9556
3425	0.000	0.9553
3450	0.000	0.9570
3475	0.050	0.9564
3500	0.000	0.9566
3525	0.050	0.9574
3550	0.000	0.9549
3575	0.000	0.9572
3600	0.000	0.9569
3625	0.000	0.9560
3650	0.000	0.9575
3675	0.050	0.9555
3700	0.050	0.9565
3725	0.000	0.9557
3750	0.000	0.9560
3775	0.000	0.9566
3800	0.000	0.9561
3825	0.050	0.9568
3850	0.000	0.9556
3875	0.000	0.9573
3900	0.000	0.9571
3925	0.000	0.9589
3950	0.000	0.9569
3975	0.000	0.9546
4000	0.000	0.9581
4025	0.000	0.9559
4050	0.000	0.9554
4075	0.000	0.9579
4100	0.000	0.9578
4125	0.000	0.9548
4150	0.000	0.9558
4175	0.000	0.9580
4200	0.000	0.9550
4225	0.000	0.9561
4250	0.000	0.9575
4275	0.050	0.9573
4300	0.050	0.9568
4325	0.000	0.9589
4350	0.000	0.9555
4375	0.000	0.9559
4400	0.000	0.9566
4425	0.000	0.9577
4450	0.050	0.9589
4475	0.000	0.9576
4500	0.000	0.9590
4525	0.000	0.9572
4550	0.000	0.9577
4575	0.000	0.9574
4600	0.050	0.9591
4625	0.000	0.9587
4650	0.000	0.9571
4675	0.000	0.9568
4700	0.000	0.9591
4725	0.050	0.9591
4750	0.000	0.9561
4775	0.000	0.9574
4800	0.100	0.9572
4825	0.050	0.9563
4850	0.000	0.9581
4875	0.000	0.9585
4900	0.000	0.9558
4925	0.000	0.9588
4950	0.000	0.9583
4975	0.000	0.9572
5000	0.000	0.9547
5025	0.000	0.9582
5050	0.000	0.9565
5075	0.000	0.9578
5100	0.050	0.9575
5125	0.000	0.9552
5150	0.000	0.9558
5175	0.000	0.9552
5200	0.000	0.9566
5225	0.000	0.9561
5250	0.000	0.9582
5275	0.000	0.9555
5300	0.000	0.9571
5325	0.000	0.9565
5350	0.000	0.9564
5375	0.000	0.9565
5400	0.000	0.9562
5425	0.050	0.9566
5450	0.000	0.9568
5475	0.000	0.9552
5500	0.000	0.9568
5525	0.000	0.9584
5550	0.000	0.9570
5575	0.000	0.9535
5600	0.000	0.9575
5625	0.050	0.9556
5650	0.000	0.9579
5675	0.000	0.9582
5700	0.000	0.9552
5725	0.000	0.9567
5750	0.050	0.9567
5775	0.050	0.9575
5800	0.000	0.9546
5825	0.000	0.9570
5850	0.000	0.9556
5875	0.000	0.9563
5900	0.000	0.9561
5925	0.000	0.9565
5950	0.000	0.9557
5975	0.000	0.9573
6000	0.000	0.9561
6025	0.000	0.9572
6050	0.000	0.9574
6075	0.000	0.9574
6100	0.000	0.9589
6125	0.000	0.9562
6150	0.000	0.9570
6175	0.050	0.9550
6200	0.000	0.9562
6225	0.000	0.9566
6250	0.000	0.9552
6275	0.000	0.9563
6300	0.000	0.9574
6325	0.000	0.9571
6350	0.000	0.9551
6375	0.000	0.9573
6400	0.000	0.9578
6425	0.000	0.9565
6450	0.050	0.9554
6475	0.000	0.9558
6500	0.000	0.9556
6525	0.000	0.9568
6550	0.000	0.9578
6575	0.000	0.9564
6600	0.000	0.9558
6625	0.000	0.9571
6650	0.000	0.9556
6675	0.000	0.9565
6700	0.000	0.9552
6725	0.050	0.9556
6750	0.000	0.9565
6775	0.000	0.9561
6800	0.000	0.9565
6825	0.000	0.9568
6850	0.000	0.9552
6875	0.000	0.9535
6900	0.000	0.9543
6925	0.050	0.9564
6950	0.000	0.9555
6975	0.000	0.9555
7000	0.000	0.9568
7025	0.000	0.9543
7050	0.000	0.9560
7075	0.000	0.9545
7100	0.000	0.9558
