# tag=p65536_s8 N=65536 epochs=8000 mut=262144 rngseed=8 seedfrac=0.000
# epoch	selfcopy%	entropy4
0	0.000	0.9959
25	0.000	0.9928
50	0.000	0.9908
75	0.050	0.9886
100	0.000	0.9848
125	0.050	0.9844
150	0.000	0.9823
175	0.000	0.9822
200	0.000	0.9811
225	0.050	0.9783
250	0.000	0.9763
275	0.000	0.9731
300	0.000	0.9725
325	0.000	0.9706
350	0.000	0.9691
375	0.000	0.9731
400	0.000	0.9733
425	0.000	0.9690
450	0.000	0.9712
475	0.000	0.9676
500	0.000	0.9636
525	0.000	0.9694
550	0.050	0.9653
575	0.000	0.9681
600	0.000	0.9660
625	0.000	0.9655
650	0.000	0.9633
675	0.100	0.9648
700	0.000	0.9621
725	0.000	0.9620
750	0.000	0.9612
775	0.000	0.9628
800	0.000	0.9607
825	0.000	0.9628
850	0.000	0.9604
875	0.000	0.9594
900	0.000	0.9607
925	0.000	0.9594
950	0.000	0.9613
975	0.000	0.9594
1000	0.000	0.9595
1025	0.000	0.9574
1050	0.000	0.9591
1075	0.000	0.9579
1100	0.000	0.9586
1125	0.000	0.9571
1150	0.000	0.9560
1175	0.000	0.9547
1200	0.000	0.9574
1225	0.000	0.9543
1250	0.000	0.9565
1275	0.100	0.9599
1300	0.000	0.9546
1325	0.000	0.9548
1350	0.000	0.9535
1375	0.000	0.9562
1400	0.000	0.9540
1425	0.000	0.9527
1450	0.000	0.9518
1475	0.000	0.9535
1500	0.000	0.9541
1525	0.000	0.9536
1550	0.000	0.9510
1575	0.000	0.9521
1600	0.000	0.9521
1625	0.000	0.9524
1650	0.000	0.9545
1675	0.000	0.9492
1700	0.000	0.9500
1725	0.000	0.9542
1750	0.050	0.9499
1775	0.050	0.9478
1800	0.000	0.9531
1825	0.000	0.9506
1850	0.000	0.9503
1875	0.000	0.9520
1900	0.000	0.9529
1925	0.050	0.9490
1950	0.000	0.9504
1975	0.000	0.9522
2000	0.050	0.9529
2025	0.000	0.9526
2050	0.000	0.9514
2075	0.000	0.9537
2100	0.000	0.9520
2125	0.000	0.9538
2150	0.000	0.9541
2175	0.000	0.9558
2200	0.000	0.9518
2225	0.000	0.9555
2250	0.000	0.9541
2275	0.000	0.9535
2300	0.000	0.9547
2325	0.000	0.9535
2350	0.000	0.9525
2375	0.000	0.9531
2400	0.000	0.9539
2425	0.000	0.9526
2450	0.000	0.9540
2475	0.050	0.9540
2500	0.000	0.9543
2525	0.000	0.9531
2550	0.000	0.9529
2575	0.000	0.9542
2600	0.000	0.9530
2625	0.000	0.9539
2650	0.000	0.9552
2675	0.000	0.9522
2700	0.000	0.9538
2725	0.000	0.9529
2750	0.000	0.9541
2775	0.000	0.9526
2800	0.000	0.9528
2825	0.000	0.9528
2850	0.000	0.9534
2875	0.000	0.9546
2900	0.000	0.9542
2925	0.000	0.9530
2950	0.000	0.9536
2975	0.050	0.9532
3000	0.000	0.9552
3025	0.000	0.9545
3050	0.000	0.9539
3075	0.000	0.9549
3100	0.000	0.9540
3125	0.000	0.9537
3150	0.000	0.9541
3175	0.000	0.9555
3200	0.050	0.9546
3225	0.050	0.9542
3250	0.000	0.9552
3275	0.000	0.9557
3300	0.000	0.9554
3325	0.000	0.9578
3350	0.000	0.9587
3375	0.000	0.9553
3400	0.000	0.9547
3425	0.000	0.9569
3450	0.000	0.9575
3475	0.000	0.9589
3500	0.050	0.9567
3525	0.100	0.9572
3550	0.000	0.9585
3575	0.000	0.9579
3600	0.000	0.9557
3625	0.000	0.9559
3650	0.000	0.9560
3675	0.000	0.9585
3700	0.050	0.9568
3725	0.000	0.9598
3750	0.000	0.9563
3775	0.050	0.9586
3800	0.000	0.9573
3825	0.000	0.9562
3850	0.050	0.9578
3875	0.000	0.9556
3900	0.000	0.9578
3925	0.000	0.9571
3950	0.000	0.9588
3975	0.000	0.9575
4000	0.000	0.9572
4025	0.000	0.9592
4050	0.000	0.9580
4075	0.050	0.9578
4100	0.050	0.9561
4125	0.000	0.9581
4150	0.000	0.9588
4175	0.000	0.9580
