# tag=r2p17_s2 N=131072 epochs=5000 mut=262144 rngseed=2 seedfrac=0.000
# epoch	selfcopy%	entropy4
0	0.000	0.9975
25	0.050	0.9945
50	0.000	0.9924
75	0.000	0.9922
100	0.000	0.9877
125	0.000	0.9867
150	0.000	0.9842
175	0.000	0.9836
200	0.000	0.9813
225	0.000	0.9797
250	0.000	0.9791
275	0.000	0.9791
300	0.000	0.9764
325	0.050	0.9753
350	0.000	0.9734
375	0.050	0.9754
400	0.000	0.9744
425	0.050	0.9719
450	0.000	0.9682
475	0.000	0.9707
500	0.000	0.9690
525	0.050	0.9681
550	0.000	0.9672
575	0.000	0.9678
600	0.000	0.9644
625	0.000	0.9649
650	0.000	0.9663
675	0.050	0.9631
700	0.050	0.9617
725	0.000	0.9637
750	0.000	0.9659
775	0.000	0.9635
800	0.000	0.9633
825	0.000	0.9619
850	0.000	0.9636
875	0.000	0.9636
900	0.000	0.9614
925	0.000	0.9593
950	0.050	0.9623
975	0.000	0.9564
1000	0.000	0.9568
1025	0.000	0.9595
1050	0.000	0.9578
1075	0.000	0.9571
1100	0.000	0.9598
1125	0.000	0.9577
1150	0.000	0.9593
1175	0.000	0.9553
1200	0.000	0.9574
1225	0.000	0.9599
1250	0.000	0.9568
1275	0.000	0.9575
1300	0.000	0.9559
1325	0.000	0.9541
1350	0.000	0.9567
1375	0.000	0.9522
1400	0.000	0.9564
1425	0.000	0.9546
1450	0.000	0.9537
1475	0.000	0.9549
1500	0.050	0.9542
1525	0.000	0.9555
1550	0.000	0.9523
1575	0.000	0.9533
1600	0.000	0.9529
1625	0.000	0.9499
1650	0.000	0.9535
1675	0.000	0.9552
1700	0.000	0.9548
1725	0.000	0.9549
1750	0.000	0.9534
1775	0.000	0.9527
1800	0.000	0.9501
1825	0.000	0.9506
1850	0.050	0.9499
1875	0.000	0.9516
1900	0.000	0.9530
1925	0.050	0.9504
1950	0.000	0.9514
1975	0.000	0.9542
2000	0.000	0.9534
2025	0.000	0.9511
2050	0.000	0.9523
2075	0.000	0.9547
2100	0.000	0.9525
2125	0.000	0.9515
2150	0.000	0.9521
2175	0.000	0.9542
2200	0.050	0.9513
2225	0.050	0.9511
2250	0.050	0.9543
2275	0.000	0.9520
2300	0.000	0.9558
2325	0.000	0.9531
2350	0.000	0.9518
2375	0.050	0.9565
2400	0.000	0.9541
2425	0.000	0.9545
2450	0.000	0.9506
2475	0.000	0.9544
2500	0.000	0.9522
2525	0.000	0.9539
2550	0.000	0.9536
2575	0.000	0.9552
2600	0.000	0.9540
2625	0.000	0.9543
2650	0.000	0.9537
2675	0.000	0.9519
2700	0.000	0.9537
2725	0.000	0.9520
2750	0.000	0.9537
2775	0.000	0.9537
2800	0.000	0.9555
2825	0.000	0.9525
2850	0.050	0.9538
2875	0.000	0.9526
2900	0.000	0.9525
2925	0.000	0.9553
2950	0.000	0.9555
2975	0.000	0.9542
3000	0.000	0.9539
3025	0.000	0.9552
3050	0.000	0.9549
3075	0.000	0.9548
3100	0.050	0.9560
3125	0.000	0.9564
3150	0.000	0.9550
3175	0.000	0.9565
3200	0.000	0.9566
3225	0.000	0.9587
3250	0.000	0.9570
3275	0.000	0.9573
3300	0.000	0.9556
3325	0.000	0.9573
3350	0.000	0.9577
3375	0.050	0.9558
3400	0.000	0.9563
3425	0.000	0.9550
3450	0.000	0.9569
3475	0.000	0.9569
3500	0.000	0.9570
3525	0.000	0.9573
3550	0.000	0.9581
3575	0.000	0.9571
3600	0.000	0.9576
3625	0.000	0.9557
3650	0.000	0.9570
3675	0.050	0.9587
3700	0.000	0.9592
3725	0.000	0.9577
3750	0.000	0.9572
3775	0.050	0.9612
3800	0.000	0.9586
3825	0.000	0.9576
3850	0.000	0.9583
3875	0.050	0.9573
3900	0.000	0.9591
3925	0.000	0.9596
3950	0.000	0.9593
3975	0.050	0.9580
4000	0.000	0.9594
4025	0.000	0.9603
4050	0.000	0.9583
4075	0.050	0.9581
4100	0.000	0.9580
4125	0.000	0.9575
4150	0.000	0.9594
4175	0.050	0.9584
4200	0.000	0.9587
4225	0.000	0.9594
4250	0.000	0.9605
4275	0.000	0.9592
4300	0.000	0.9597
4325	0.000	0.9608
4350	0.000	0.9602
4375	0.000	0.9584
4400	0.050	0.9591
4425	0.000	0.9604
4450	0.000	0.9580
4475	0.000	0.9581
4500	0.000	0.9597
4525	0.000	0.9572
4550	0.000	0.9580
4575	0.000	0.9584
4600	0.050	0.9581
4625	0.000	0.9594
4650	0.050	0.9570
